sep=|
volume|issue|url|title|abstract
21|1|http://www.sciencedirect.com/science/journal/01674048/21/1|From the editor-in-chief|
21|1||Security Views|
21|1||2001: A Privacy Odyssey Revisited|
21|1||What InfoSec professionals should know about information warfare tactics by terrorists|
21|1||In brief|
21|1||Abstracts of recent articles and literature|
21|1||Calendar of forthcoming conferences and events|
21|1||ACSAC 2001 review|
21|1||International board of referees|
21|1||Guide for Authors|
21|1||Insider Threat Prediction Tool: Evaluating the probability of IT misuse|Despite the well documented and emerging insider threat to information systems, there is currently no substantial effort devoted to addressing the problem of internal IT misuse. In fact, the great majority of misuse counter measures address forms of abuse originating from external factors (i.e. the perceived threat from unauthorized users). This paper suggests a new and innovative approach of dealing with insiders that abuse IT systems. The proposed solution estimates the level of threat that is likely to originate from a particular insider by introducing a threat evaluation system based on certain profiles of user behaviour. However, a substantial amount of work is required, in order to materialize and validate the proposed solutions.
21|1||Cryptanalysis of a Timestamp-Based Password Authentication Scheme|In this paper, we present a cryptanalysis of a timestamp-based password authentication scheme which is based on the concepts of ID-based schemes and smart cards. We show that the scheme is breakable. An intruder is able to construct forged login request from intercepted login requests and then he can impersonate other legal users and pass the system authentication.
21|1||Hybrid Key Escrow: A New Paradigm*,â |A new paradigm for the design of key recovery systems called hybrid key escrow will be presented. It will be shown that such a design can guard the privacy of system users and at the same time enable authorized key recovery. The system will be analyzed against the three fundamental properties of any robust key recovery system: compliance, enforceability and traceability.
21|1||IFIP technical committee 11|
21|2|http://www.sciencedirect.com/science/journal/01674048/21/2|From the Editor-in-chief|In my last editorial I discussed the foundations of information security, focusing on some of the things that information security professionals need to do to be successful in securing systems and networks. Although we can choose our approach and focus, the truth is that we have less control over other factors that affect our success. The information security function may, for example, be placed in a lower tier of an organization chart (giving it little leverage and influence within the organization to which it belongs) or it may be allocated too few resources to enable it to accomplish what needs to get done.
21|2||Security Views|
21|2||What InfoSec Professionals Should Know About Information Warfare Tactics by Terrorists|
